data;valor
jan-20;483,17
fev-20;481,78
mar-20;484,15
abr-20;471,17
mai-20;441,09
jun-20;450,45
jul-20;449,96
ago-20;443,28
set-20;445,76
out-20;490,48
nov-20;572,64
dez-20;591,82
jan-21;614,31
fev-21;591,44
mar-21;580,76
abr-21;587,33
mai-21;588,24
jun-21;584,99
jul-21;582,35
ago-21;594,59
set-21;617,65
out-21;644,09
nov-21;631,95
dez-21;621,56
jan-22;661,09
fev-22;670,98
mar-22;704,65
abr-22;741,55
mai-22;696,34
jun-22;698,36
jul-22;703,93
ago-22;689,31
set-22;687,21
out-22;699,09
nov-22;712,2
dez-22;728,78
