data;valor;;;;
jan-20;4,4;;;;
fev-20;4,19;;;;
mar-20;3,95;;;;
abr-20;3,65;;;;
mai-20;3,01;;;;
jun-20;2,58;;;;
jul-20;2,15;;;;
ago-20;1,94;;;;
set-20;1,9;;;;
out-20;1,9;;;;
nov-20;1,9;;;;
dez-20;1,9;;;;
jan-21;1,9;;;;
fev-21;1,9;;;;
mar-21;2,23;;;;
abr-21;2,65;;;;
mai-21;3,29;;;;
jun-21;3,76;;;;
jul-21;4,15;;;;
ago-21;5,01;;;;
set-21;5,43;;;;
out-21;6,3;;;;
nov-21;7,65;;;;
dez-21;8,76;;;;
jan-22;9,15;;;;
fev-22;10,49;;;;
mar-22;11,15;;;;
abr-22;11,65;;;;
mai-22;12,51;;;;
jun-22;12,89;;;;
jul-22;13,15;;;;
ago-22;13,58;;;;
set-22;13,65;;;;
out-22;13,65;;;;
nov-22;13,65;;;;
dez-22;13,65;;;;
